# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9800 GTX/9800 GTX+
method,gputime,cputime,occupancy
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15798.3,8.73,0.167
memcopy,136.608,710.705,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50590.4,8.311,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15871.1,6.425,0.167
memcopy,135.104,654.133,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50457.2,6.984,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15871.3,7.543,0.167
memcopy,136.064,633.181,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50597.2,9.987,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15780.6,7.263,0.167
memcopy,134.848,688.845,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50405.5,6.775,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15911.7,7.263,0.167
memcopy,135.008,651.27,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50458.1,7.613,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15864.4,7.054,0.167
memcopy,140.992,798.356,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50545.8,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15852.4,7.194,0.167
memcopy,141.952,936.222,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50428.3,7.543,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15866.6,6.984,0.167
memcopy,135.104,698.762,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50494.9,9.848,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15877.9,7.543,0.167
memcopy,135.136,648.267,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50571.6,8.73,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15785.6,7.054,0.167
memcopy,134.848,2481.25,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50413.9,7.263,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15976,7.892,0.167
memcopy,134.784,651.2,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50506.6,8.8,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15881.4,7.473,0.167
memcopy,136.864,653.156,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50604.1,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15847.8,7.124,0.167
memcopy,135.008,635.137,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50178,8.87,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15774.9,8.59,0.167
memcopy,136.8,750.654,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50562.3,8.032,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15834.1,6.286,0.167
memcopy,141.408,2516.03,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50203.2,7.892,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15843,7.543,0.167
memcopy,139.552,1240.1,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50187.2,7.962,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15866.5,8.87,0.167
memcopy,143.392,955.848,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50202.8,8.451,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15781.4,9.01,0.167
memcopy,134.944,657.137,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50195.3,10.616,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15876.3,7.194,0.167
memcopy,141.568,745.346,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50503.9,6.844,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15884.5,7.263,0.167
memcopy,137.568,667.822,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50177.7,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15833.2,6.984,0.167
memcopy,135.2,713.638,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50191.6,11.175,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15832.3,6.635,0.167
memcopy,134.816,658.743,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50495.1,7.473,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15861.2,6.775,0.167
memcopy,139.904,1491.95,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50594.3,7.263,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15860.5,7.124,0.167
memcopy,135.104,633.321,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50523.9,7.054,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15878.5,10.057,0.167
memcopy,135.456,642.959,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50160.1,8.032,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15826.5,6.635,0.167
memcopy,135.712,720.971,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50579.6,6.914,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15845.2,6.705,0.167
memcopy,134.528,1868.6,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50555.2,7.683,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15858,7.194,0.167
memcopy,135.04,651.549,
_Z20ClassifyPlanesPointsPK5planePK7point3diiPi,50494.2,6.705,0.333
_Z29ClassifyPyramidalFrustumBoxesPK7point3dS1_PKiiiPi,15808.8,6.635,0.167
memcopy,138.176,1720.47,
